epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,132.159,0.75973,1.40749,0.41088,0.83559,0.98923,0.97857,0.99103,0.77964,0.88384,0.86272,0.86991,0.47912,0.73533,1.36751,0.38599,0.82441,0.000544776,0.000544776,0.000544776
70,133.581,0.74919,1.3034,0.39874,0.83299,0.98988,0.97563,0.99038,0.77736,0.87065,0.84929,0.86837,0.48532,0.73642,1.36961,0.38765,0.82618,0.000528272,0.000528272,0.000528272
71,135,0.73943,1.31809,0.41313,0.83872,0.99109,0.97034,0.98958,0.79171,0.8655,0.84444,0.86367,0.4683,0.69751,1.25525,0.37232,0.82181,0.000511769,0.000511769,0.000511769
72,136.422,0.74868,1.23541,0.39802,0.83817,0.98889,0.97214,0.99009,0.79169,0.87155,0.84929,0.86639,0.45972,0.68421,1.22882,0.36716,0.81769,0.000495266,0.000495266,0.000495266
73,137.846,0.73361,1.2655,0.39101,0.83222,0.98987,0.96946,0.98957,0.79063,0.87582,0.85418,0.86232,0.46875,0.68878,1.25772,0.36799,0.81716,0.000478762,0.000478762,0.000478762
74,139.279,0.74441,1.26346,0.40022,0.82885,0.98926,0.97397,0.98925,0.80137,0.87473,0.85772,0.86557,0.48817,0.67868,1.21151,0.36022,0.81745,0.000462259,0.000462259,0.000462259
75,140.701,0.72386,1.23741,0.38683,0.83433,0.99265,0.97206,0.98958,0.80395,0.86616,0.8456,0.8539,0.4751,0.677,1.20466,0.35404,0.81642,0.000445756,0.000445756,0.000445756
76,142.131,0.71935,1.29982,0.38806,0.82309,0.99212,0.97401,0.99126,0.80182,0.87613,0.84473,0.85557,0.45885,0.6848,1.24434,0.35185,0.81861,0.000429253,0.000429253,0.000429253
77,143.551,0.71731,1.25444,0.38397,0.82728,0.99691,0.97661,0.99241,0.81032,0.87545,0.86726,0.86729,0.46931,0.67444,1.23895,0.35069,0.81802,0.000412749,0.000412749,0.000412749
78,144.96,0.70238,1.21832,0.37788,0.8326,0.99701,0.97613,0.99207,0.82039,0.87975,0.86677,0.87105,0.49124,0.66559,1.21601,0.35016,0.81622,0.000396246,0.000396246,0.000396246
79,146.531,0.7142,1.19102,0.38143,0.82216,0.99855,0.97616,0.99217,0.81729,0.88198,0.85936,0.86421,0.48976,0.67442,1.23844,0.35084,0.81769,0.000379743,0.000379743,0.000379743
80,147.944,0.71498,1.2117,0.37624,0.84075,0.99722,0.97484,0.9918,0.81637,0.8671,0.84276,0.84918,0.46795,0.68195,1.25917,0.34704,0.81775,0.000363239,0.000363239,0.000363239
81,149.368,0.73492,1.26594,0.39139,0.8276,0.99603,0.97429,0.99163,0.81464,0.87365,0.84857,0.85352,0.46084,0.68218,1.22868,0.34585,0.81553,0.000346736,0.000346736,0.000346736
82,150.778,0.69317,1.18762,0.373,0.83278,0.9929,0.97885,0.99084,0.81801,0.88454,0.85561,0.85776,0.47779,0.66577,1.18921,0.34252,0.81314,0.000330233,0.000330233,0.000330233
83,152.219,0.72802,1.31688,0.38346,0.8181,0.99326,0.97786,0.99005,0.81678,0.88213,0.86064,0.85824,0.47086,0.66062,1.18937,0.33986,0.81348,0.000313729,0.000313729,0.000313729
84,153.639,0.68183,1.22726,0.36456,0.81917,0.99558,0.97701,0.99065,0.81219,0.87786,0.85714,0.85032,0.45988,0.65328,1.17582,0.33748,0.81371,0.000297226,0.000297226,0.000297226
85,155.058,0.70899,1.27935,0.36922,0.83244,0.99435,0.97655,0.99086,0.8131,0.87937,0.86266,0.85425,0.46398,0.64282,1.15623,0.33855,0.81199,0.000280723,0.000280723,0.000280723
86,156.483,0.73322,1.24203,0.37907,0.82967,0.99622,0.97744,0.99153,0.81681,0.88164,0.86318,0.85806,0.46295,0.63149,1.16716,0.33584,0.81046,0.00026422,0.00026422,0.00026422
87,157.884,0.68086,1.2185,0.36792,0.81984,0.99648,0.97857,0.99188,0.81504,0.87374,0.85643,0.8534,0.46216,0.62904,1.16136,0.33929,0.8101,0.000247716,0.000247716,0.000247716
88,159.314,0.66043,1.14982,0.3585,0.81551,0.99515,0.98062,0.99185,0.81252,0.86627,0.85211,0.85231,0.45784,0.64109,1.18802,0.34317,0.81228,0.000231213,0.000231213,0.000231213
89,160.726,0.67596,1.13634,0.36801,0.8182,0.99568,0.98127,0.99199,0.81709,0.87761,0.86357,0.86684,0.467,0.63904,1.22243,0.33801,0.8134,0.00021471,0.00021471,0.00021471
90,162.154,0.69064,1.20742,0.36715,0.82001,0.99652,0.9812,0.99215,0.8228,0.88425,0.86714,0.87153,0.48015,0.6229,1.19648,0.33314,0.81096,0.000198206,0.000198206,0.000198206
91,164.105,0.72616,1.27575,0.39452,0.82895,0.99681,0.98286,0.99207,0.82796,0.89197,0.87337,0.87907,0.4882,0.61285,1.1675,0.33117,0.80894,0.000181703,0.000181703,0.000181703
92,165.689,0.6901,1.20025,0.37127,0.82376,0.99825,0.97929,0.992,0.82619,0.87854,0.85999,0.86598,0.4785,0.61759,1.15552,0.33137,0.80846,0.0001652,0.0001652,0.0001652
93,167.059,0.69007,1.22586,0.37978,0.81329,0.99852,0.97714,0.99154,0.81724,0.87123,0.85071,0.85524,0.45942,0.6351,1.15578,0.33395,0.8105,0.000148696,0.000148696,0.000148696
94,168.447,0.67539,1.20195,0.3748,0.81463,0.99787,0.97714,0.99079,0.81149,0.8644,0.84429,0.84663,0.44791,0.6475,1.16034,0.33563,0.81122,0.000132193,0.000132193,0.000132193
95,169.829,0.68156,1.18696,0.36969,0.81842,0.9972,0.97376,0.99055,0.80661,0.85622,0.83364,0.83621,0.43912,0.64928,1.16954,0.33654,0.81139,0.00011569,0.00011569,0.00011569
96,171.245,0.68437,1.20901,0.36172,0.82352,0.9948,0.97532,0.99039,0.80899,0.85823,0.83786,0.8363,0.44087,0.63946,1.16305,0.33158,0.81068,9.91865e-05,9.91865e-05,9.91865e-05
97,172.626,0.66477,1.14818,0.35435,0.81624,0.99572,0.97429,0.99062,0.81411,0.86798,0.84228,0.84142,0.44473,0.62523,1.14773,0.32793,0.80929,8.26832e-05,8.26832e-05,8.26832e-05
98,174.007,0.6587,1.15633,0.35801,0.81239,0.99863,0.97445,0.99041,0.82034,0.87777,0.85366,0.85037,0.45853,0.60922,1.12782,0.32375,0.80749,6.61799e-05,6.61799e-05,6.61799e-05
99,175.396,0.66159,1.15459,0.35249,0.82396,0.99863,0.97444,0.99036,0.82445,0.88064,0.85731,0.85361,0.46196,0.60234,1.11595,0.32144,0.8063,4.96766e-05,4.96766e-05,4.96766e-05
100,176.779,0.6731,1.16784,0.36181,0.817,0.99804,0.97553,0.99029,0.82682,0.88116,0.85786,0.85324,0.46886,0.60098,1.11225,0.32222,0.80558,3.31733e-05,3.31733e-05,3.31733e-05
