epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,50.5738,0.94227,1.0387,0.50948,0.832,0.99275,0.98439,0.99352,0.71746,0.94359,0.93533,0.95038,0.55563,0.83474,0.99312,0.4989,0.82522,0.000317,0.000317,0.000317
87,51.1571,0.89511,1.07256,0.51866,0.82588,0.98742,0.98802,0.99356,0.72556,0.94204,0.9344,0.95082,0.54066,0.80833,0.98899,0.48606,0.82287,0.0002972,0.0002972,0.0002972
88,51.7253,0.90172,1.02229,0.51038,0.83779,0.99122,0.98802,0.99365,0.7271,0.94448,0.93715,0.95102,0.54141,0.78953,0.98289,0.4808,0.82177,0.0002774,0.0002774,0.0002774
89,52.3017,0.92212,1.03841,0.50441,0.82517,0.99278,0.98766,0.99362,0.72278,0.94461,0.93945,0.95221,0.52895,0.79547,1.00151,0.47628,0.82278,0.0002576,0.0002576,0.0002576
90,52.874,0.93896,1.02248,0.50764,0.83482,0.99278,0.98747,0.99371,0.72279,0.94701,0.94181,0.95242,0.53169,0.79989,1.01236,0.47014,0.82348,0.0002378,0.0002378,0.0002378
91,54.2636,0.98862,1.08858,0.56204,0.8488,0.99355,0.98683,0.99378,0.72333,0.95504,0.9485,0.95913,0.54852,0.79399,1.01788,0.4695,0.82242,0.000218,0.000218,0.000218
92,54.9637,0.91185,1.05922,0.55726,0.83267,0.99049,0.98563,0.99338,0.72166,0.9592,0.95449,0.96302,0.56685,0.79036,1.02563,0.47619,0.82186,0.0001982,0.0001982,0.0001982
93,55.5318,0.93864,1.08676,0.53031,0.84654,0.98412,0.98683,0.99332,0.70967,0.96082,0.95808,0.96746,0.5762,0.81329,1.02688,0.4931,0.82334,0.0001784,0.0001784,0.0001784
94,56.0872,0.98222,1.09274,0.56829,0.84026,0.98176,0.98683,0.99305,0.70411,0.9535,0.95776,0.96475,0.57698,0.82092,1.02611,0.50653,0.82402,0.0001586,0.0001586,0.0001586
95,56.6423,0.94835,1.06033,0.55194,0.82952,0.98171,0.98563,0.9933,0.7073,0.95041,0.95449,0.96431,0.57448,0.81607,1.0331,0.51815,0.82345,0.0001388,0.0001388,0.0001388
96,57.1921,0.90589,1.0193,0.51453,0.83067,0.98329,0.98656,0.99333,0.71267,0.94522,0.95058,0.96098,0.55999,0.80953,1.04685,0.52667,0.82313,0.000119,0.000119,0.000119
97,57.7632,0.87632,0.99705,0.51213,0.83091,0.98328,0.98605,0.99343,0.71525,0.94271,0.94586,0.95861,0.55528,0.80234,1.05325,0.52906,0.82241,9.92e-05,9.92e-05,9.92e-05
98,58.3321,0.8892,0.97524,0.5112,0.82463,0.983,0.98683,0.99344,0.71809,0.94025,0.94235,0.95616,0.5434,0.7951,1.04949,0.52278,0.8217,7.94e-05,7.94e-05,7.94e-05
99,58.8871,0.91736,1.05262,0.52763,0.8317,0.98369,0.98683,0.99349,0.72199,0.94033,0.94357,0.95643,0.53965,0.78712,1.03946,0.51315,0.8207,5.96e-05,5.96e-05,5.96e-05
100,59.4418,0.9069,1.02625,0.51832,0.82999,0.98505,0.98683,0.99357,0.72415,0.9394,0.94132,0.95578,0.54282,0.78082,1.02893,0.50325,0.81968,3.98e-05,3.98e-05,3.98e-05
